date,time,steps
2021-03-26,21,23
2021-03-26,22,16
2021-03-26,23,0
2021-03-27,0,36
2021-03-27,1,0
2021-03-27,2,0
2021-03-27,3,0
2021-03-27,4,0
2021-03-27,5,0
2021-03-27,6,0
2021-03-27,7,0
2021-03-27,8,0
2021-03-27,9,0
2021-03-27,10,0
2021-03-27,11,0
2021-03-27,12,67
2021-03-27,13,0
2021-03-27,14,44
2021-03-27,15,25
2021-03-27,16,87
2021-03-27,17,10
2021-03-27,18,34
2021-03-27,19,120
2021-03-27,20,0
2021-03-27,21,0
2021-03-27,22,0
2021-03-27,23,0
2021-03-28,0,18
2021-03-28,1,0
2021-03-28,2,0
2021-03-28,3,0
2021-03-28,4,0
2021-03-28,5,0
2021-03-28,6,0
2021-03-28,7,0
2021-03-28,8,0
2021-03-28,9,0
2021-03-28,10,0
2021-03-28,11,0
2021-03-28,12,54
2021-03-28,13,0
2021-03-28,14,58
2021-03-28,15,12
2021-03-28,16,74
2021-03-28,17,0
2021-03-28,18,12
2021-03-28,19,25
2021-03-28,20,37
2021-03-28,21,10
2021-03-28,22,0
2021-03-28,23,0
2021-03-29,0,22
2021-03-29,1,0
2021-03-29,2,0
2021-03-29,3,14
2021-03-29,4,0
2021-03-29,5,0
2021-03-29,6,0
2021-03-29,7,0
2021-03-29,8,0
2021-03-29,9,0
2021-03-29,10,0
2021-03-29,11,0
2021-03-29,12,54
2021-03-29,13,24
2021-03-29,14,541
2021-03-29,15,0
2021-03-29,16,698
2021-03-29,17,957
2021-03-29,18,0
2021-03-29,19,0
2021-03-29,20,32
2021-03-29,21,0
2021-03-29,22,0
2021-03-29,23,0
2021-03-30,0,0
2021-03-30,1,0
2021-03-30,2,0
2021-03-30,3,0
2021-03-30,4,0
2021-03-30,5,0
2021-03-30,6,0
2021-03-30,7,0
2021-03-30,8,0
2021-03-30,9,0
2021-03-30,10,0
2021-03-30,11,0
2021-03-30,12,289
2021-03-30,13,40
2021-03-30,14,20
2021-03-30,15,0
2021-03-30,16,0
2021-03-30,17,0
2021-03-30,18,0
2021-03-30,19,0
2021-03-30,20,0
2021-03-30,21,0
2021-03-30,22,0
2021-03-30,23,0
2021-03-31,0,24
2021-03-31,1,14
2021-03-31,2,0
2021-03-31,3,0
2021-03-31,4,0
2021-03-31,5,0
2021-03-31,6,0
2021-03-31,7,0
2021-03-31,8,0
2021-03-31,9,0
2021-03-31,10,0
2021-03-31,11,178
2021-03-31,12,0
2021-03-31,13,0
2021-03-31,14,0
2021-03-31,15,1774
2021-03-31,16,2923
2021-03-31,17,12
2021-03-31,18,57
2021-03-31,19,19
2021-03-31,20,50
2021-03-31,21,0
2021-03-31,22,0
2021-03-31,23,0
2021-04-01,0,0
2021-04-01,1,0
2021-04-01,2,0
2021-04-01,3,0
2021-04-01,4,10
2021-04-01,5,0
2021-04-01,6,0
2021-04-01,7,0
2021-04-01,8,0
2021-04-01,9,0
2021-04-01,10,0
2021-04-01,11,0
2021-04-01,12,1679
2021-04-01,13,1306
2021-04-01,14,39
2021-04-01,15,0
2021-04-01,16,0
2021-04-01,17,0
2021-04-01,18,0
2021-04-01,19,0
2021-04-01,20,0
2021-04-01,21,0
2021-04-01,22,0
2021-04-01,23,0
2021-04-02,0,0
2021-04-02,1,0
2021-04-02,2,0
2021-04-02,3,0
2021-04-02,4,0
2021-04-02,5,0
2021-04-02,6,0
2021-04-02,7,0
2021-04-02,8,0
2021-04-02,9,0
2021-04-02,10,0
2021-04-02,11,0
2021-04-02,12,0
2021-04-02,13,0
2021-04-02,14,0
2021-04-02,15,0
2021-04-02,16,0
2021-04-02,17,0
2021-04-02,18,0
2021-04-02,19,0
2021-04-02,20,0
2021-04-02,21,0
2021-04-02,22,0
2021-04-02,23,0
2021-04-05,0,0
2021-04-05,1,0
2021-04-05,2,0
2021-04-05,3,0
2021-04-05,4,0
2021-04-05,5,0
2021-04-05,6,0
2021-04-05,7,0
2021-04-05,8,0
2021-04-05,9,0
2021-04-05,10,0
2021-04-05,11,0
2021-04-05,12,0
2021-04-05,13,261
2021-04-05,14,137
2021-04-05,15,0
2021-04-05,16,0
2021-04-05,17,0
2021-04-05,18,0
2021-04-05,19,17
2021-04-05,20,0
2021-04-05,21,0
2021-04-05,22,0
2021-04-05,23,0
2021-04-06,0,0
2021-04-06,1,0
2021-04-06,2,0
2021-04-06,3,0
2021-04-06,4,0
2021-04-06,5,0
2021-04-06,6,0
2021-04-06,7,0
2021-04-06,8,0
2021-04-06,9,0
2021-04-06,10,0
2021-04-06,11,0
2021-04-06,12,182
2021-04-06,13,340
2021-04-06,14,12
2021-04-06,15,0
2021-04-06,16,11
2021-04-06,17,3922
2021-04-06,18,65
2021-04-06,19,195
2021-04-06,20,1773
2021-04-06,21,0
2021-04-06,22,73
2021-04-06,23,0
2021-04-07,0,44
2021-04-07,1,0
2021-04-07,2,0
2021-04-07,3,0
2021-04-07,4,39
2021-04-07,5,0
2021-04-07,6,0
2021-04-07,7,0
2021-04-07,8,0
2021-04-07,9,0
2021-04-07,10,0
2021-04-07,11,10
2021-04-07,12,1723
2021-04-07,13,0
2021-04-07,14,38
2021-04-07,15,0
2021-04-07,16,19
2021-04-07,17,0
2021-04-07,18,0
2021-04-07,19,19
2021-04-07,20,0
2021-04-07,21,0
2021-04-07,22,0
2021-04-07,23,0
2021-04-08,0,0
2021-04-08,1,0
2021-04-08,2,0
2021-04-08,3,0
2021-04-08,4,56
2021-04-08,5,0
2021-04-08,6,0
2021-04-08,7,0
2021-04-08,8,0
2021-04-08,9,0
2021-04-08,10,0
2021-04-08,11,0
2021-04-08,12,190
2021-04-08,13,958
2021-04-08,14,1134
2021-04-08,15,36
2021-04-08,16,2644
2021-04-08,17,64
2021-04-08,18,0
2021-04-08,19,0
2021-04-08,20,0
2021-04-08,21,0
2021-04-08,22,0
2021-04-08,23,0
2021-04-09,0,0
2021-04-09,1,12
2021-04-09,2,0
2021-04-09,3,0
2021-04-09,4,0
2021-04-09,5,0
2021-04-09,6,0
2021-04-09,7,0
2021-04-09,8,0
2021-04-09,9,0
2021-04-09,10,0
2021-04-09,11,0
2021-04-09,12,0
2021-04-09,13,0
2021-04-09,14,12
2021-04-09,15,0
2021-04-09,16,131
2021-04-09,17,34
2021-04-09,18,0
2021-04-09,19,0
2021-04-09,20,0
2021-04-09,21,0
2021-04-09,22,0
2021-04-09,23,0
2021-04-10,0,175
2021-04-10,1,14
2021-04-10,2,17
2021-04-10,3,0
2021-04-10,4,0
2021-04-10,5,0
2021-04-10,6,0
2021-04-10,7,0
2021-04-10,8,0
2021-04-10,9,89
2021-04-10,10,324
2021-04-10,11,1724
2021-04-10,12,2279
2021-04-10,13,1059
2021-04-10,14,1491
2021-04-10,15,339
2021-04-10,16,2281
2021-04-10,17,1540
2021-04-10,18,285
2021-04-10,19,250
2021-04-10,20,191
2021-04-10,21,109
2021-04-10,22,0
2021-04-10,23,0
2021-04-11,0,18
2021-04-11,1,0
2021-04-11,2,28
2021-04-11,3,0
2021-04-11,4,0
2021-04-11,5,0
2021-04-11,6,0
2021-04-11,7,0
2021-04-11,8,0
2021-04-11,9,0
2021-04-11,10,1104
2021-04-11,11,1177
2021-04-11,12,493
2021-04-11,13,360
2021-04-11,14,200
2021-04-11,15,154
2021-04-11,16,32
2021-04-11,17,428
2021-04-11,18,506
2021-04-11,19,211
2021-04-11,20,49
2021-04-11,21,0
2021-04-11,22,12
2021-04-11,23,0
2021-04-12,0,0
2021-04-12,1,0
2021-04-12,2,0
2021-04-12,3,0
2021-04-12,4,0
2021-04-12,5,0
2021-04-12,6,0
2021-04-12,7,0
2021-04-12,8,0
2021-04-12,9,0
2021-04-12,10,0
2021-04-12,11,0
2021-04-12,12,0
2021-04-12,13,10
2021-04-12,14,0
2021-04-12,15,0
2021-04-12,16,10
2021-04-12,17,387
2021-04-12,18,0
2021-04-12,19,0
2021-04-12,20,0
2021-04-12,21,0
2021-04-12,22,0
2021-04-12,23,0
2021-04-13,0,0
2021-04-13,1,0
2021-04-13,2,0
2021-04-13,3,0
2021-04-13,4,0
2021-04-13,5,0
2021-04-13,6,0
2021-04-13,7,0
2021-04-13,8,0
2021-04-13,9,0
2021-04-13,10,0
2021-04-13,11,0
2021-04-13,12,11
2021-04-13,13,0
2021-04-13,14,14
2021-04-13,15,0
2021-04-13,16,0
2021-04-13,17,0
2021-04-13,18,2550
2021-04-13,19,549
2021-04-13,20,452
2021-04-13,21,24
2021-04-13,22,0
2021-04-13,23,0
2021-04-14,0,0
2021-04-14,1,0
2021-04-14,2,0
2021-04-14,3,0
2021-04-14,4,0
2021-04-14,5,0
2021-04-14,6,0
2021-04-14,7,0
2021-04-14,8,0
2021-04-14,9,0
2021-04-14,10,0
2021-04-14,11,0
2021-04-14,12,30
2021-04-14,13,27
2021-04-14,14,0
2021-04-14,15,0
2021-04-14,16,0
2021-04-14,17,0
2021-04-14,18,33
2021-04-14,19,0
2021-04-14,20,0
2021-04-14,21,10
2021-04-14,22,0
2021-04-14,23,0
2021-04-15,0,0
2021-04-15,1,0
2021-04-15,2,0
2021-04-15,3,0
2021-04-15,4,0
2021-04-15,5,38
2021-04-15,6,0
2021-04-15,7,0
2021-04-15,8,0
2021-04-15,9,0
2021-04-15,10,0
2021-04-15,11,0
2021-04-15,12,0
2021-04-15,13,45
2021-04-15,14,42
2021-04-15,15,1393
2021-04-15,16,1564
2021-04-15,17,1195
2021-04-15,18,399
2021-04-15,19,463
2021-04-15,20,87
2021-04-15,21,45
2021-04-15,22,14
2021-04-15,23,0
2021-04-16,0,0
2021-04-16,1,0
2021-04-16,2,0
2021-04-16,3,0
2021-04-16,4,0
2021-04-16,5,0
2021-04-16,6,0
2021-04-16,7,0
2021-04-16,8,0
2021-04-16,9,0
2021-04-16,10,132
2021-04-16,11,3031
2021-04-16,12,400
2021-04-16,13,0
2021-04-16,14,0
2021-04-16,15,21
2021-04-16,16,30
2021-04-16,17,0
2021-04-16,18,0
2021-04-16,19,0
2021-04-16,20,259
2021-04-16,21,69
2021-04-16,22,134
2021-04-16,23,0
2021-04-17,0,0
2021-04-17,1,32
2021-04-17,2,0
2021-04-17,3,0
2021-04-17,4,0
2021-04-17,5,0
2021-04-17,6,0
2021-04-17,7,0
2021-04-17,8,0
2021-04-17,9,0
2021-04-17,10,0
2021-04-17,11,0
2021-04-17,12,0
2021-04-17,13,0
2021-04-17,14,13
2021-04-17,15,0
2021-04-17,16,22
2021-04-17,17,116
2021-04-17,18,687
2021-04-17,19,115
2021-04-17,20,155
2021-04-17,21,0
2021-04-17,22,0
2021-04-17,23,0
2021-04-18,0,0
2021-04-18,1,0
2021-04-18,2,0
2021-04-18,3,0
2021-04-18,4,0
2021-04-18,5,0
2021-04-18,6,0
2021-04-18,7,0
2021-04-18,8,0
2021-04-18,9,0
2021-04-18,10,0
2021-04-18,11,0
2021-04-18,12,0
2021-04-18,13,0
2021-04-18,14,66
2021-04-18,15,61
2021-04-18,16,357
2021-04-18,17,1509
2021-04-18,18,16
2021-04-18,19,961
2021-04-18,20,0
2021-04-18,21,0
2021-04-18,22,0
2021-04-18,23,0
2021-04-19,0,0
2021-04-19,1,0
2021-04-19,2,0
2021-04-19,3,0
2021-04-19,4,0
2021-04-19,5,0
2021-04-19,6,0
2021-04-19,7,0
2021-04-19,8,0
2021-04-19,9,0
2021-04-19,10,0
2021-04-19,11,0
2021-04-19,12,0
2021-04-19,13,155
2021-04-19,14,32
2021-04-19,15,0
2021-04-19,16,204
2021-04-19,17,0
2021-04-19,18,0
2021-04-19,19,0
2021-04-19,20,0
2021-04-19,21,0
2021-04-19,22,0
2021-04-19,23,0
2021-04-20,0,11
2021-04-20,1,0
2021-04-20,2,0
2021-04-20,3,0
2021-04-20,4,32
2021-04-20,5,0
2021-04-20,6,0
2021-04-20,7,0
2021-04-20,8,0
2021-04-20,9,0
2021-04-20,10,0
2021-04-20,11,0
2021-04-20,12,0
2021-04-20,13,2452
2021-04-20,14,476
2021-04-20,15,27
2021-04-20,16,0
2021-04-20,17,1305
2021-04-20,18,0
2021-04-20,19,0
2021-04-20,20,0
2021-04-20,21,18
2021-04-20,22,14
2021-04-20,23,0
2021-04-21,0,0
2021-04-21,1,0
2021-04-21,2,0
2021-04-21,3,111
2021-04-21,4,0
2021-04-21,5,0
2021-04-21,6,0
2021-04-21,7,0
2021-04-21,8,0
2021-04-21,9,0
2021-04-21,10,0
2021-04-21,11,0
2021-04-21,12,159
2021-04-21,13,199
2021-04-21,14,0
2021-04-21,15,2030
2021-04-21,16,0
2021-04-21,17,0
2021-04-21,18,0
2021-04-21,19,0
2021-04-21,20,0
2021-04-21,21,0
2021-04-21,22,0
2021-04-21,23,0
2021-04-22,0,0
2021-04-22,1,10
2021-04-22,2,0
2021-04-22,3,0
2021-04-22,4,0
2021-04-22,5,0
2021-04-22,6,0
2021-04-22,7,0
2021-04-22,8,0
2021-04-22,9,0
2021-04-22,10,0
2021-04-22,11,0
2021-04-22,12,199
2021-04-22,13,20
2021-04-22,14,63
2021-04-22,15,0
2021-04-22,16,0
2021-04-22,17,16
2021-04-22,18,0
2021-04-22,19,0
2021-04-22,20,0
2021-04-22,21,0
2021-04-22,22,0
2021-04-22,23,0
2021-04-23,0,0
2021-04-23,1,0
2021-04-23,2,12
2021-04-23,3,0
2021-04-23,4,0
2021-04-23,5,0
2021-04-23,6,0
2021-04-23,7,0
2021-04-23,8,0
2021-04-23,9,10
2021-04-23,10,203
2021-04-23,11,67
2021-04-23,12,1698
2021-04-23,13,77
2021-04-23,14,157
2021-04-23,15,0
2021-04-23,16,66
2021-04-23,17,0
2021-04-23,18,906
2021-04-23,19,549
2021-04-23,20,0
2021-04-23,21,0
2021-04-23,22,0
2021-04-23,23,0
2021-04-24,0,0
2021-04-24,1,101
2021-04-24,2,35
2021-04-24,3,0
2021-04-24,4,0
2021-04-24,5,0
2021-04-24,6,0
2021-04-24,7,0
2021-04-24,8,0
2021-04-24,9,0
2021-04-24,10,39
2021-04-24,11,72
2021-04-24,12,92
2021-04-24,13,1372
2021-04-24,14,53
2021-04-24,15,0
2021-04-24,16,18
2021-04-24,17,94
2021-04-24,18,1800
2021-04-24,19,33
2021-04-24,20,133
2021-04-24,21,1181
2021-04-24,22,0
2021-04-24,23,0
2021-04-25,0,29
2021-04-25,1,0
2021-04-25,2,0
2021-04-25,3,0
2021-04-25,4,0
2021-04-25,5,0
2021-04-25,6,0
2021-04-25,7,0
2021-04-25,8,10
2021-04-25,9,24
2021-04-25,10,42
2021-04-25,11,923
2021-04-25,12,1246
2021-04-25,13,0
2021-04-25,14,695
2021-04-25,15,904
2021-04-25,16,1262
